gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	celltype	condition	supercluster
Bcar3	3.11E-221	3.325764592	0.401	0.043	1.77E-216	23	microglia	non-homeostasis	
P2ry14	1.89E-205	3.272792354	0.328	0.031	1.08E-200	23	microglia	non-homeostasis	
Spp1	3.70E-198	3.645998102	0.395	0.047	2.11E-193	23	microglia	non-homeostasis	
Airn	5.19E-191	3.042798517	0.334	0.034	2.95E-186	23	microglia	non-homeostasis	
Adgb	7.60E-175	3.361848797	0.359	0.043	4.32E-170	23	microglia	non-homeostasis	
Adam33	9.50E-175	4.149077753	0.24	0.02	5.40E-170	23	microglia	non-homeostasis	
Apoe	1.24E-157	2.988284054	0.979	0.527	7.07E-153	23	microglia	non-homeostasis	
Gas2l3	6.80E-147	3.403207815	0.304	0.037	3.87E-142	23	microglia	non-homeostasis	
Ttyh2	8.71E-133	3.063264182	0.289	0.036	4.95E-128	23	microglia	non-homeostasis	
Gpnmb	0	4.576922526	0.818	0.047	0	24	microglia	non-homeostasis	
Igf1	0	4.082962756	0.749	0.057	0	24	microglia	non-homeostasis	
Lgals3	0	3.576619543	0.737	0.05	0	24	microglia	non-homeostasis	
Spp1	0	4.680443753	0.67	0.046	0	24	microglia	non-homeostasis	
Lilrb4b	0	3.82544446	0.637	0.044	0	24	microglia	non-homeostasis	
Colec12	0	4.131128662	0.601	0.044	0	24	microglia	non-homeostasis	
Bcar3	0	3.744183555	0.587	0.043	0	24	microglia	non-homeostasis	
Airn	0	4.1349397	0.578	0.034	0	24	microglia	non-homeostasis	
Clec7a	0	3.570881206	0.595	0.058	0	24	microglia	non-homeostasis	
Fam20c	0	4.158756841	0.55	0.038	0	24	microglia	non-homeostasis	
Ikbke	0	3.483222776	0.545	0.045	0	24	microglia	non-homeostasis	
Gas7	0	3.469218539	0.553	0.053	0	24	microglia	non-homeostasis	
Gas2l3	0	3.752593356	0.511	0.036	0	24	microglia	non-homeostasis	
Fn1	0	3.667192683	0.483	0.036	0	24	microglia	non-homeostasis	
Lpl	0	3.984692815	0.455	0.035	0	24	microglia	non-homeostasis	
Rab7b	0	4.001094273	0.383	0.026	0	24	microglia	non-homeostasis	
Optn	0	3.593939871	0.338	0.024	0	24	microglia	non-homeostasis	
Myo10	0	4.29629442	0.271	0.015	0	24	microglia	non-homeostasis	
Stra6l	0	4.529694424	0.249	0.009	0	24	microglia	non-homeostasis	
Mical2	2.88E-241	3.608543474	0.263	0.019	1.64E-236	24	microglia	non-homeostasis	
Lpl	0	5.448031591	0.65	0.033	0	25	microglia	non-homeostasis	
Spp1	0	5.447471288	0.58	0.045	0	25	microglia	non-homeostasis	
Clec7a	0	3.859439091	0.545	0.056	0	25	microglia	non-homeostasis	
Igf1	0	3.392156606	0.474	0.057	0	25	microglia	non-homeostasis	
Gas7	0	3.564946029	0.444	0.052	0	25	microglia	non-homeostasis	
Fam20c	0	3.849511125	0.416	0.037	0	25	microglia	non-homeostasis	
Lgals3	0	3.303888697	0.419	0.05	0	25	microglia	non-homeostasis	
Csf1	0	3.698446503	0.414	0.051	0	25	microglia	non-homeostasis	
Fn1	0	3.475147265	0.358	0.036	0	25	microglia	non-homeostasis	
Flt1	0	3.931192591	0.337	0.027	0	25	microglia	non-homeostasis	
Colec12	0	3.378549212	0.342	0.044	0	25	microglia	non-homeostasis	
Itgax	0	3.710860722	0.283	0.027	0	25	microglia	non-homeostasis	
Ch25h	0	5.355446619	0.245	0.01	0	25	microglia	non-homeostasis	
Ccl4	0	3.685447354	0.26	0.03	0	25	microglia	non-homeostasis	
Rab7b	0	3.707328724	0.25	0.026	0	25	microglia	non-homeostasis	
Actr3b	0	3.855784866	0.24	0.019	0	25	microglia	non-homeostasis	
Atf3	0	3.922383896	0.242	0.023	0	25	microglia	non-homeostasis	
Ccl3	0	3.959956743	0.229	0.021	0	25	microglia	non-homeostasis	
Cst7	8.20E-269	3.296906965	0.225	0.026	4.66E-264	25	microglia	non-homeostasis	
Plau	3.66E-235	3.396046607	0.235	0.031	2.08E-230	25	microglia	non-homeostasis	
Etl4	0	4.934746992	0.879	0.059	0	26	microglia	non-homeostasis	
Ank	0	4.234412797	0.879	0.124	0	26	microglia	non-homeostasis	
Igf1	0	4.248416255	0.759	0.05	0	26	microglia	non-homeostasis	
Dkk2	0	7.299998973	0.623	0.007	0	26	microglia	non-homeostasis	
Mamdc2	0	7.488125523	0.611	0.006	0	26	microglia	non-homeostasis	
Gas7	0	4.151929253	0.641	0.046	0	26	microglia	non-homeostasis	
Tmem163	0	4.151834634	0.611	0.028	0	26	microglia	non-homeostasis	
Ptchd1	0	4.06025809	0.62	0.046	0	26	microglia	non-homeostasis	
Flt1	0	4.91446842	0.547	0.022	0	26	microglia	non-homeostasis	
Ctnna3	0	6.750064742	0.457	0.019	0	26	microglia	non-homeostasis	
Cst7	0	4.193892901	0.396	0.022	0	26	microglia	non-homeostasis	
Cacnb4	0	4.165076745	0.352	0.026	0	26	microglia	non-homeostasis	
Hectd2os	0	4.86503095	0.331	0.017	0	26	microglia	non-homeostasis	
Actr3b	0	4.017057975	0.305	0.017	0	26	microglia	non-homeostasis	
Sox5	0	4.260252308	0.292	0.016	0	26	microglia	non-homeostasis	
Arnt2	0	4.345438491	0.284	0.013	0	26	microglia	non-homeostasis	
Efr3b	0	3.855471247	0.28	0.017	0	26	microglia	non-homeostasis	
Lrrtm3	0	5.485178734	0.239	0.008	0	26	microglia	non-homeostasis	
Baiap2l2	0	5.029937782	0.236	0.006	0	26	microglia	non-homeostasis	
Trpc4	0	4.588221439	0.24	0.011	0	26	microglia	non-homeostasis	
Etl4	0	3.964470011	0.795	0.068	0	27	microglia	non-homeostasis	
Flt1	0	4.538854314	0.557	0.028	0	27	microglia	non-homeostasis	
Mamdc2	0	4.863674179	0.427	0.013	0	27	microglia	non-homeostasis	
Dkk2	0	4.71148004	0.378	0.014	0	27	microglia	non-homeostasis	
Baiap2l2	4.58E-294	4.568199419	0.265	0.009	2.60E-289	27	microglia	non-homeostasis	
Actr3b	3.47E-286	4.331556654	0.395	0.02	1.97E-281	27	microglia	non-homeostasis	
Tmem163	2.63E-275	3.310224588	0.519	0.035	1.50E-270	27	microglia	non-homeostasis	
Ptchd1	2.43E-235	3.595302186	0.589	0.052	1.38E-230	27	microglia	non-homeostasis	
Efr3b	1.00E-208	3.806463978	0.341	0.02	5.70E-204	27	microglia	non-homeostasis	
Cst7	1.59E-205	3.671945779	0.389	0.026	9.02E-201	27	microglia	non-homeostasis	
Igf1	1.16E-202	3.275504561	0.584	0.058	6.63E-198	27	microglia	non-homeostasis	
Ank	3.45E-160	3.224035924	0.768	0.132	1.96E-155	27	microglia	non-homeostasis	
Ifit2	4.85E-150	3.060385523	0.368	0.031	2.76E-145	27	microglia	non-homeostasis	
Hpse	2.02E-147	3.477655607	0.324	0.025	1.15E-142	27	microglia	non-homeostasis	
Gas7	3.67E-136	3.462204648	0.459	0.053	2.09E-131	27	microglia	non-homeostasis	
Tnfsf8	7.72E-127	3.035830294	0.449	0.053	4.39E-122	27	microglia	non-homeostasis	
Cacnb4	6.94E-96	3.000647513	0.292	0.03	3.95E-91	27	microglia	non-homeostasis	
Masp1	9.66E-74	3.256022442	0.211	0.02	5.49E-69	27	microglia	non-homeostasis	
Hectd2os	6.11E-67	3.346482183	0.2	0.02	3.47E-62	27	microglia	non-homeostasis	
Ctnna3	3.45E-65	3.524576478	0.216	0.024	1.96E-60	27	microglia	non-homeostasis	
Cd74	0	3.130446358	0.729	0.106	0	28	microglia	non-homeostasis	
Lyz2	0	3.028778114	0.738	0.14	0	28	microglia	non-homeostasis	
Cd52	0	2.728699397	0.66	0.12	0	28	microglia	non-homeostasis	
Apoe	0	4.367862382	0.998	0.526	0	28	microglia	non-homeostasis	
Spp1	0	4.86823572	0.461	0.046	0	28	microglia	non-homeostasis	
Clec7a	0	3.156662064	0.463	0.057	0	28	microglia	non-homeostasis	
Cst7	0	3.905967275	0.336	0.026	0	28	microglia	non-homeostasis	
H2-Aa	1.92E-278	2.750609879	0.4	0.051	1.09E-273	28	microglia	non-homeostasis	
Cd63	3.41E-278	2.858070363	0.67	0.146	1.94E-273	28	microglia	non-homeostasis	
Axl	1.18E-266	2.85610997	0.457	0.068	6.72E-262	28	microglia	non-homeostasis	
Ikbke	5.55E-243	2.830688772	0.355	0.045	3.16E-238	28	microglia	non-homeostasis	
B2m	2.30E-224	2.40862419	0.875	0.368	1.31E-219	28	microglia	non-homeostasis	
Lgals3bp	9.33E-219	2.836729864	0.432	0.072	5.31E-214	28	microglia	non-homeostasis	
Fabp5	5.95E-214	2.805472711	0.352	0.05	3.38E-209	28	microglia	non-homeostasis	
H2-Ab1	5.09E-198	2.654609291	0.342	0.05	2.89E-193	28	microglia	non-homeostasis	
Timp2	3.30E-185	2.400534906	0.645	0.184	1.88E-180	28	microglia	non-homeostasis	
H2-Eb1	2.79E-161	2.55738483	0.285	0.042	1.59E-156	28	microglia	non-homeostasis	
Gas2l3	5.03E-123	2.636562406	0.234	0.037	2.86E-118	28	microglia	non-homeostasis	
P2ry14	6.85E-114	2.466766057	0.209	0.031	3.90E-109	28	microglia	non-homeostasis	
Adgb	8.79E-105	2.602414981	0.238	0.043	5.00E-100	28	microglia	non-homeostasis	
Ccl4	0	6.76260947	0.755	0.03	0	29	microglia	non-homeostasis	
Ccl3	0	6.273602825	0.592	0.021	0	29	microglia	non-homeostasis	
Atf3	0	5.030730806	0.433	0.023	0	29	microglia	non-homeostasis	
Gem	0	4.894170432	0.231	0.006	0	29	microglia	non-homeostasis	
Cd83	1.87E-221	3.742136096	0.578	0.078	1.06E-216	29	microglia	non-homeostasis	
Tnf	8.49E-187	4.196336069	0.347	0.033	4.83E-182	29	microglia	non-homeostasis	
Slc15a3	7.19E-170	3.123308926	0.596	0.101	4.09E-165	29	microglia	non-homeostasis	
Egr1	1.71E-162	4.412187736	0.209	0.014	9.75E-158	29	microglia	non-homeostasis	
Ier3	3.90E-148	3.333926015	0.274	0.026	2.22E-143	29	microglia	non-homeostasis	
Csf1	2.19E-143	3.509211384	0.39	0.052	1.25E-138	29	microglia	non-homeostasis	
Plekho2	4.70E-143	3.046388205	0.339	0.039	2.67E-138	29	microglia	non-homeostasis	
Plaur	5.40E-124	3.111517924	0.357	0.05	3.07E-119	29	microglia	non-homeostasis	
Ier2	3.23E-104	3.241850233	0.224	0.024	1.84E-99	29	microglia	non-homeostasis	
Gas2l3	5.99E-95	3.012108392	0.271	0.037	3.41E-90	29	microglia	non-homeostasis	
Optn	5.95E-86	3.291766639	0.206	0.024	3.38E-81	29	microglia	non-homeostasis	
Clec7a	6.51E-75	3.101462183	0.314	0.058	3.70E-70	29	microglia	non-homeostasis	
Slc7a1	2.32E-74	2.710068163	0.264	0.042	1.32E-69	29	microglia	non-homeostasis	
Pdgfa	1.33E-69	2.94572027	0.264	0.045	7.56E-65	29	microglia	non-homeostasis	
Kdm6b	1.35E-60	2.667307535	0.227	0.038	7.69E-56	29	microglia	non-homeostasis	
Il1a	3.65E-60	2.700251354	0.336	0.076	2.08E-55	29	microglia	non-homeostasis	
Ccl4	3.32E-222	4.662980355	0.309	0.03	1.89E-217	30	microglia	non-homeostasis	
Or5v1b	4.80E-156	3.037353558	0.456	0.086	2.73E-151	30	microglia	non-homeostasis	
Ccl3	4.15E-138	4.450751434	0.206	0.021	2.36E-133	30	microglia	non-homeostasis	
Apbb2	1.14E-105	2.145976722	0.731	0.313	6.46E-101	30	microglia	non-homeostasis	
Cadm1	3.37E-73	2.075350228	0.763	0.466	1.92E-68	30	microglia	non-homeostasis	
Gas2l3	6.07E-70	3.01919537	0.206	0.037	3.45E-65	30	microglia	non-homeostasis	
Marchf3	8.47E-70	2.419748393	0.369	0.105	4.82E-65	30	microglia	non-homeostasis	
Myo1e	2.77E-69	1.947097053	0.522	0.189	1.57E-64	30	microglia	non-homeostasis	
Csf1	1.64E-65	2.671646407	0.245	0.052	9.36E-61	30	microglia	non-homeostasis	
Fmnl2	1.15E-51	1.953082046	0.623	0.343	6.52E-47	30	microglia	non-homeostasis	
Cacna1a	5.84E-51	1.857761401	0.459	0.184	3.32E-46	30	microglia	non-homeostasis	
Prkg1	4.36E-46	2.459585042	0.383	0.145	2.48E-41	30	microglia	non-homeostasis	
Cd83	3.44E-39	2.372855794	0.251	0.078	1.96E-34	30	microglia	non-homeostasis	
Hif1a	8.28E-37	1.721161919	0.446	0.215	4.71E-32	30	microglia	non-homeostasis	
Dgkh	2.60E-31	2.00827746	0.245	0.085	1.48E-26	30	microglia	non-homeostasis	
Gnl3	2.10E-27	1.823036708	0.272	0.109	1.20E-22	30	microglia	non-homeostasis	
Slc15a3	9.39E-21	2.061632206	0.235	0.102	5.34E-16	30	microglia	non-homeostasis	
C5ar1	3.02E-20	1.991586942	0.259	0.116	1.72E-15	30	microglia	non-homeostasis	
Xylt1	1.97E-17	1.714138518	0.237	0.11	1.12E-12	30	microglia	non-homeostasis	
Slc25a25	6.04E-17	1.81045427	0.227	0.104	3.44E-12	30	microglia	non-homeostasis	
Cacna1a	0	2.501168168	0.718	0.17	0	31	microglia	non-homeostasis	
Apbb2	0	2.063499476	0.83	0.299	0	31	microglia	non-homeostasis	
Myo1e	0	2.075982604	0.673	0.176	0	31	microglia	non-homeostasis	
Etl4	0	3.607547724	0.547	0.056	0	31	microglia	non-homeostasis	
Ank	0	2.920780342	0.581	0.121	0	31	microglia	non-homeostasis	
Fgf13	0	2.097415451	0.88	0.421	0	31	microglia	non-homeostasis	
Or5v1b	0	2.988849699	0.508	0.075	0	31	microglia	non-homeostasis	
Ptchd1	0	3.622896951	0.47	0.041	0	31	microglia	non-homeostasis	
Prkg1	0	2.320276766	0.539	0.134	0	31	microglia	non-homeostasis	
Acaca	0	2.248074673	0.515	0.121	0	31	microglia	non-homeostasis	
Xylt1	0	2.077420787	0.462	0.1	0	31	microglia	non-homeostasis	
Clec7a	0	2.448362894	0.346	0.051	0	31	microglia	non-homeostasis	
Plekhh2	0	2.25078794	0.318	0.06	0	31	microglia	non-homeostasis	
St8sia6	0	2.714302441	0.292	0.04	0	31	microglia	non-homeostasis	
Lpl	0	2.985028216	0.272	0.029	0	31	microglia	non-homeostasis	
Kcnj2	0	2.433343307	0.261	0.043	0	31	microglia	non-homeostasis	
Tnfsf8	0	2.210890149	0.258	0.047	0	31	microglia	non-homeostasis	
Csf1	0	2.174127338	0.256	0.047	0	31	microglia	non-homeostasis	
Gas7	0	2.317497131	0.257	0.048	0	31	microglia	non-homeostasis	
Tmem163	0	2.342557129	0.232	0.03	0	31	microglia	non-homeostasis	
Sigmar1	3.11E-07	3.144579596	0.238	0.035	0.017695369	32	microglia	non-homeostasis	
Apoe	1.90E-288	2.074431917	0.788	0.525	1.08E-283	33	microglia	non-homeostasis	
Lrmda	1.15E-232	0.957943112	0.955	0.813	6.52E-228	33	microglia	non-homeostasis	
Myo5a	4.99E-113	1.510889176	0.402	0.198	2.84E-108	33	microglia	non-homeostasis	
AU020206	8.59E-83	1.119793235	0.556	0.406	4.89E-78	33	microglia	non-homeostasis	
Trps1	1.04E-79	1.151964749	0.358	0.183	5.91E-75	33	microglia	non-homeostasis	
Fth1	4.46E-76	0.928966807	0.612	0.473	2.54E-71	33	microglia	non-homeostasis	
Rad51b	5.75E-67	1.505751604	0.306	0.16	3.27E-62	33	microglia	non-homeostasis	
Cd74	1.43E-65	1.099772824	0.239	0.107	8.14E-61	33	microglia	non-homeostasis	
Apobec1	1.36E-52	1.1315009	0.475	0.36	7.74E-48	33	microglia	non-homeostasis	
Slc11a1	2.77E-42	1.256132336	0.327	0.219	1.57E-37	33	microglia	non-homeostasis	
Ddhd1	7.37E-42	1.430854352	0.238	0.134	4.20E-37	33	microglia	non-homeostasis	
Plp1	9.28E-37	1.235219833	0.261	0.158	5.28E-32	33	microglia	non-homeostasis	
Lyz2	8.77E-36	1.076400463	0.242	0.141	4.99E-31	33	microglia	non-homeostasis	
Gsap	7.53E-32	0.963411055	0.426	0.351	4.28E-27	33	microglia	non-homeostasis	
Pcdh9	3.39E-30	1.172554432	0.244	0.152	1.93E-25	33	microglia	non-homeostasis	
Rassf3	1.57E-19	0.997222756	0.277	0.209	8.94E-15	33	microglia	non-homeostasis	
Anapc15	6.44E-19	1.056588275	0.236	0.168	3.66E-14	33	microglia	non-homeostasis	
P2rx4	4.71E-15	0.977585172	0.273	0.218	2.68E-10	33	microglia	non-homeostasis	
Soat1	8.08E-12	0.984388325	0.243	0.197	4.60E-07	33	microglia	non-homeostasis	
Slc38a6	2.77E-09	0.949668324	0.223	0.183	0.000157605	33	microglia	non-homeostasis	
Apod	2.18E-272	2.214454648	0.627	0.137	1.24E-267	34	microglia	non-homeostasis	
Ptgds	7.21E-147	1.431085879	0.731	0.264	4.10E-142	34	microglia	non-homeostasis	
Nrgn	3.96E-70	1.226677785	0.36	0.118	2.25E-65	34	microglia	non-homeostasis	
Glul	4.59E-64	1.150918342	0.574	0.27	2.61E-59	34	microglia	non-homeostasis	
Csad	1.07E-59	1.134731975	0.502	0.225	6.10E-55	34	microglia	non-homeostasis	
Rtp4	6.61E-50	1.306704286	0.213	0.063	3.76E-45	34	microglia	non-homeostasis	
Eif2ak2	6.94E-50	1.067137566	0.397	0.166	3.95E-45	34	microglia	non-homeostasis	
Mt1	2.38E-48	0.936366551	0.403	0.17	1.35E-43	34	microglia	non-homeostasis	
Snta1	4.71E-48	0.917440243	0.497	0.235	2.68E-43	34	microglia	non-homeostasis	
Slc12a9	6.81E-43	1.01461481	0.381	0.167	3.88E-38	34	microglia	non-homeostasis	
Atp6v0a2	1.62E-36	0.954589565	0.395	0.191	9.24E-32	34	microglia	non-homeostasis	
Clu	2.93E-35	0.919263647	0.294	0.122	1.67E-30	34	microglia	non-homeostasis	
Hsd17b4	2.58E-34	0.990177766	0.337	0.155	1.47E-29	34	microglia	non-homeostasis	
Ypel2	3.92E-34	1.109291937	0.26	0.106	2.23E-29	34	microglia	non-homeostasis	
Abhd15	3.32E-31	0.930149453	0.342	0.165	1.89E-26	34	microglia	non-homeostasis	
Galnt12	7.99E-30	1.02816698	0.253	0.108	4.55E-25	34	microglia	non-homeostasis	
H2-T24	5.70E-23	0.933017256	0.224	0.101	3.24E-18	34	microglia	non-homeostasis	
Snhg6	8.78E-21	0.859845434	0.202	0.091	4.99E-16	34	microglia	non-homeostasis	
Adora3	1.07E-20	0.912337568	0.203	0.092	6.08E-16	34	microglia	non-homeostasis	
Ntan1	1.44E-19	0.89341961	0.224	0.109	8.18E-15	34	microglia	non-homeostasis	
Dalrd3	0	1.804944028	0.369	0.173	0	35	microglia	non-homeostasis	
Apod	0	1.879359528	0.308	0.125	0	35	microglia	non-homeostasis	
Ccl12	0	2.171944245	0.257	0.075	0	35	microglia	non-homeostasis	
Ddx5	0	1.186926114	0.809	0.686	0	35	microglia	non-homeostasis	
Plp1	0	1.441608363	0.263	0.15	0	35	microglia	non-homeostasis	
Atp8a1	0	0.896673513	0.707	0.63	0	35	microglia	non-homeostasis	
Hk2	9.09E-292	0.968877076	0.457	0.365	5.17E-287	35	microglia	non-homeostasis	
Ptgds	1.22E-250	0.867415955	0.37	0.257	6.93E-246	35	microglia	non-homeostasis	
Ifi204	5.91E-229	1.176981453	0.207	0.117	3.36E-224	35	microglia	non-homeostasis	
Mlxipl	6.62E-215	1.110148086	0.33	0.244	3.77E-210	35	microglia	non-homeostasis	
Ifi30	1.13E-189	1.197679901	0.232	0.149	6.43E-185	35	microglia	non-homeostasis	
Pcdh9	2.73E-174	1.179646025	0.226	0.147	1.55E-169	35	microglia	non-homeostasis	
Trim30a	6.85E-172	0.803280844	0.391	0.317	3.90E-167	35	microglia	non-homeostasis	
Ly6e	1.34E-168	0.737498217	0.449	0.391	7.61E-164	35	microglia	non-homeostasis	
Cept1	6.65E-131	0.81673581	0.387	0.34	3.79E-126	35	microglia	non-homeostasis	
Lifr	1.99E-53	0.784147122	0.262	0.228	1.13E-48	35	microglia	non-homeostasis	
Htra2	9.01E-50	0.861631491	0.218	0.183	5.12E-45	35	microglia	non-homeostasis	
Eif2ak2	3.10E-47	0.804592725	0.2	0.164	1.76E-42	35	microglia	non-homeostasis	
Hspa5	4.21E-42	0.765391992	0.254	0.228	2.40E-37	35	microglia	non-homeostasis	
Atp6v0a2	1.48E-24	0.72784749	0.208	0.19	8.39E-20	35	microglia	non-homeostasis	
Negr1	0	4.634474211	0.508	0.045	0	36	microglia	non-homeostasis	
Fkbp5	0	1.681497393	0.765	0.427	0	36	microglia	non-homeostasis	
Slc1a3	2.13E-260	1.469483273	0.66	0.356	1.21E-255	36	microglia	non-homeostasis	
Dlg2	2.10E-220	2.670247229	0.227	0.055	1.20E-215	36	microglia	non-homeostasis	
Nrxn3	2.01E-204	2.38244537	0.251	0.069	1.14E-199	36	microglia	non-homeostasis	
Cd300lf	2.59E-186	1.913375423	0.307	0.102	1.47E-181	36	microglia	non-homeostasis	
Meg3	4.39E-168	2.299290477	0.233	0.069	2.49E-163	36	microglia	non-homeostasis	
Snhg11	9.62E-151	2.256658904	0.215	0.064	5.47E-146	36	microglia	non-homeostasis	
Rbfox1	4.20E-128	1.999573882	0.348	0.162	2.39E-123	36	microglia	non-homeostasis	
Ifi213	3.77E-127	1.784750142	0.211	0.067	2.15E-122	36	microglia	non-homeostasis	
Ifi204	2.66E-110	1.536470883	0.29	0.122	1.51E-105	36	microglia	non-homeostasis	
Cp	3.55E-108	2.06764469	0.207	0.074	2.02E-103	36	microglia	non-homeostasis	
Tnfsf13b	2.67E-107	2.106533107	0.216	0.08	1.52E-102	36	microglia	non-homeostasis	
Cpq	1.97E-98	1.703615894	0.272	0.119	1.12E-93	36	microglia	non-homeostasis	
Ptprd	1.91E-97	1.890367837	0.218	0.084	1.09E-92	36	microglia	non-homeostasis	
Ctnnal1	1.27E-96	2.136787739	0.201	0.075	7.21E-92	36	microglia	non-homeostasis	
Cadm2	2.38E-85	1.821449792	0.223	0.093	1.36E-80	36	microglia	non-homeostasis	
Oasl2	9.56E-74	1.612045986	0.207	0.087	5.44E-69	36	microglia	non-homeostasis	
D17H6S56E-5	1.28E-67	1.645316565	0.218	0.1	7.28E-63	36	microglia	non-homeostasis	
Prune2	1.22E-63	1.536546145	0.276	0.151	6.93E-59	36	microglia	non-homeostasis	
Aoah	0	3.365582718	0.575	0.087	0	37	microglia	non-homeostasis	
Apod	0	2.361615477	0.518	0.133	0	37	microglia	non-homeostasis	
Cpd	0	2.632503215	0.473	0.13	0	37	microglia	non-homeostasis	
Msr1	0	3.13708821	0.392	0.056	0	37	microglia	non-homeostasis	
Ripor2	0	1.910211343	0.462	0.131	0	37	microglia	non-homeostasis	
Ms4a6c	0	2.310473287	0.444	0.113	0	37	microglia	non-homeostasis	
Ccl12	0	2.417655138	0.377	0.084	0	37	microglia	non-homeostasis	
Gpr84	0	3.185287002	0.342	0.057	0	37	microglia	non-homeostasis	
Slc39a14	0	3.231683379	0.322	0.05	0	37	microglia	non-homeostasis	
Igsf6	0	2.294049106	0.345	0.102	0	37	microglia	non-homeostasis	
C5ar1	0	2.090843319	0.352	0.113	0	37	microglia	non-homeostasis	
Saa3	0	4.249251024	0.243	0.016	0	37	microglia	non-homeostasis	
Tnf	0	3.527727255	0.256	0.03	0	37	microglia	non-homeostasis	
Cd244a	0	2.35005379	0.254	0.064	0	37	microglia	non-homeostasis	
Pilra	9.60E-283	2.410895454	0.239	0.062	5.46E-278	37	microglia	non-homeostasis	
D17H6S56E-5	3.50E-273	2.19271411	0.309	0.098	1.99E-268	37	microglia	non-homeostasis	
Tlr2	1.86E-259	2.440907584	0.223	0.058	1.06E-254	37	microglia	non-homeostasis	
Nfkbia	2.05E-243	2.010111691	0.286	0.092	1.17E-238	37	microglia	non-homeostasis	
Nadk	7.29E-243	1.94168446	0.33	0.119	4.15E-238	37	microglia	non-homeostasis	
Bach2os	3.34E-171	2.111704702	0.2	0.063	1.90E-166	37	microglia	non-homeostasis	
Msr1	0	3.716593563	0.58	0.055	0	38	microglia	non-homeostasis	
Rnf169	0	3.301345682	0.978	0.463	0	38	microglia	non-homeostasis	
Il15ra	0	2.961670059	0.606	0.109	0	38	microglia	non-homeostasis	
Fgr	0	3.47484618	0.557	0.067	0	38	microglia	non-homeostasis	
Aoah	0	2.977081184	0.543	0.089	0	38	microglia	non-homeostasis	
Zbtb16	0	5.004682381	0.46	0.019	0	38	microglia	non-homeostasis	
D17H6S56E-5	0	2.901224607	0.469	0.097	0	38	microglia	non-homeostasis	
Sgip1	0	3.1656441	0.412	0.064	0	38	microglia	non-homeostasis	
Lcn2	0	4.704369613	0.339	0.011	0	38	microglia	non-homeostasis	
Il1r2	0	4.874850577	0.31	0.011	0	38	microglia	non-homeostasis	
Pstpip2	0	2.964773406	0.35	0.052	0	38	microglia	non-homeostasis	
Slc39a14	0	2.942463995	0.34	0.051	0	38	microglia	non-homeostasis	
Ehd1	0	4.250343215	0.272	0.016	0	38	microglia	non-homeostasis	
Ddit4	0	3.080156018	0.272	0.031	0	38	microglia	non-homeostasis	
Fcgr4	0	3.193374286	0.248	0.029	0	38	microglia	non-homeostasis	
Hif3a	0	4.940356127	0.225	0.007	0	38	microglia	non-homeostasis	
Saa3	0	3.429744962	0.228	0.017	0	38	microglia	non-homeostasis	
Tnf	0	2.945664802	0.239	0.031	0	38	microglia	non-homeostasis	
Strip2	0	4.77195798	0.2	0.006	0	38	microglia	non-homeostasis	
Ier3	0	3.137348945	0.207	0.024	0	38	microglia	non-homeostasis	
Tnf	0	5.08634442	0.54	0.033	0	39	microglia	non-homeostasis	
Ccl12	1.08E-240	4.343517222	0.704	0.087	6.16E-236	39	microglia	non-homeostasis	
Il1b	1.32E-231	4.829858038	0.277	0.014	7.53E-227	39	microglia	non-homeostasis	
Gpr84	8.57E-169	3.732872381	0.507	0.061	4.88E-164	39	microglia	non-homeostasis	
Bcl3	1.28E-141	3.70764745	0.296	0.025	7.26E-137	39	microglia	non-homeostasis	
Tlr2	4.57E-138	3.443924399	0.46	0.06	2.60E-133	39	microglia	non-homeostasis	
Cxcl10	1.51E-128	4.658507672	0.239	0.018	8.62E-124	39	microglia	non-homeostasis	
Cd83	5.28E-121	3.972017027	0.488	0.078	3.00E-116	39	microglia	non-homeostasis	
Tnfaip3	1.37E-114	3.319187253	0.437	0.064	7.81E-110	39	microglia	non-homeostasis	
Cpd	4.02E-111	2.927953151	0.624	0.134	2.29E-106	39	microglia	non-homeostasis	
Arl5c	9.88E-108	3.507384599	0.343	0.042	5.62E-103	39	microglia	non-homeostasis	
Hpn	1.10E-103	3.558436507	0.286	0.031	6.28E-99	39	microglia	non-homeostasis	
Cxcl16	1.44E-101	3.174162344	0.39	0.056	8.18E-97	39	microglia	non-homeostasis	
Nfkbiz	9.85E-101	3.341688791	0.465	0.081	5.60E-96	39	microglia	non-homeostasis	
Icam1	5.11E-100	2.973334242	0.577	0.124	2.91E-95	39	microglia	non-homeostasis	
Nfkbia	8.15E-93	2.685434509	0.493	0.094	4.64E-88	39	microglia	non-homeostasis	
Tnfaip2	5.60E-87	3.44095867	0.3	0.039	3.18E-82	39	microglia	non-homeostasis	
Relb	5.80E-85	2.839544216	0.413	0.072	3.30E-80	39	microglia	non-homeostasis	
D17H6S56E-5	4.99E-63	2.922387429	0.437	0.1	2.84E-58	39	microglia	non-homeostasis	
Il1a	1.53E-34	2.723419061	0.291	0.076	8.69E-30	39	microglia	non-homeostasis	
H2-D1	0	2.396955575	0.87	0.298	0	40	microglia	non-homeostasis	
B2m	0	2.630981037	0.895	0.362	0	40	microglia	non-homeostasis	
H2-K1	0	1.836686382	0.765	0.285	0	40	microglia	non-homeostasis	
