"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLA2G7",0,0.625259532395195,0.947,0.628,0,"2","PLA2G7"
"CD36",0,0.623989575296312,0.99,0.868,0,"2","CD36"
"GAPLINC",0,0.620242095937054,0.879,0.339,0,"2","GAPLINC"
"TREM2.1",0,0.616270818839239,0.996,0.841,0,"2","TREM2"
"CD68",0,0.60146338174448,0.996,0.911,0,"2","CD68"
"MTRNR2L8",0,0.600836491112126,0.997,0.987,0,"2","MTRNR2L8"
"PSAP",0,0.600131955987036,1,1,0,"2","PSAP"
"MAFB",0,0.599278572228979,0.985,0.794,0,"2","MAFB"
"DNASE2",0,0.581238924024067,0.979,0.836,0,"2","DNASE2"
"NRP1",0,0.575949652618889,0.949,0.601,0,"2","NRP1"
"NEAT1",0,0.575128514129943,0.994,0.991,0,"2","NEAT1"
"MRC1",0,0.574520730367113,0.801,0.255,0,"2","MRC1"
"DAB2",0,0.570813345446727,0.995,0.922,0,"2","DAB2"
"CTSS",0,0.570241940420652,1,0.997,0,"2","CTSS"
"LY96",0,0.568195008030906,0.963,0.703,0,"2","LY96"
"A2M",0,0.56418428065571,0.999,0.99,0,"2","A2M"
"ATP1B1",0,0.556821639191491,0.942,0.623,0,"2","ATP1B1"
"PLD3",0,0.554552476619708,0.999,0.944,0,"2","PLD3"
"TIMP2",0,0.552827638041787,0.997,0.948,0,"2","TIMP2"
"TGFBI",0,0.544105607191403,0.994,0.967,0,"2","TGFBI"
"MSR1",0,0.524671130372218,0.603,0.32,0,"2","MSR1"
"LGMN",0,0.522495044417971,0.81,0.507,0,"2","LGMN"
"FTL",0,0.522465738546535,1,1,0,"2","FTL"
"FCGR3A",0,0.518843054806418,0.652,0.204,0,"2","FCGR3A"
"RAP2B",0,0.51648760895921,0.905,0.596,0,"2","RAP2B"
"SLCO2B1",0,0.511329621695666,0.98,0.813,0,"2","SLCO2B1"
"MAF",0,0.491627170328004,0.996,0.949,0,"2","MAF"
"PMP22",0,0.489681208272797,0.879,0.479,0,"2","PMP22"
"PYGL",0,0.487293473100543,0.874,0.456,0,"2","PYGL"
"AP1B1",0,0.487189352155693,0.993,0.918,0,"2","AP1B1"
"SGPL1",0,0.487026099232268,0.86,0.466,0,"2","SGPL1"
"SLC11A1",0,0.481654734112177,0.844,0.406,0,"2","SLC11A1"
"TTYH3",0,0.481456376646465,0.973,0.836,0,"2","TTYH3"
"GYPC",0,0.480857892754149,0.476,0.132,0,"2","GYPC"
"CTSZ",0,0.479906159139945,0.999,0.997,0,"2","CTSZ"
"SCARB2",0,0.463558722490397,0.928,0.645,0,"2","SCARB2"
"MTRNR2L12",0,0.463303098372818,0.998,0.997,0,"2","MTRNR2L12"
"LAMP1",0,0.46266479052109,0.958,0.767,0,"2","LAMP1"
"GLMP",0,0.462662814843751,0.887,0.543,0,"2","GLMP"
"CD84",0,0.456326771982001,0.971,0.823,0,"2","CD84"
"MPP1",0,0.451768566124166,0.894,0.569,0,"2","MPP1"
"CPVL",0,0.44863776581336,0.955,0.718,0,"2","CPVL"
"SAT1",0,0.446949016782731,1,0.999,0,"2","SAT1"
"BMP2K",0,0.43816414426984,0.954,0.791,0,"2","BMP2K"
"GNB4",0,0.437359477321376,0.924,0.724,0,"2","GNB4"
"TGFBR1",0,0.434901697736971,0.984,0.922,0,"2","TGFBR1"
