"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND2.1",0,0.28364782869718,1,1,0,"5","MT-ND2"
"FCGRT.2",0,0.277157849968648,1,1,0,"5","FCGRT"
"BST2.1",0,0.274267324238738,0.996,0.961,0,"5","BST2"
"NISCH.3",0,0.270462757768988,0.935,0.713,0,"5","NISCH"
"NRP1.3",0,0.268932033065497,0.897,0.631,0,"5","NRP1"
"CMKLR1.3",0,0.267795525753246,0.962,0.815,0,"5","CMKLR1"
"INSIG1.1",0,0.262863876354964,0.779,0.459,0,"5","INSIG1"
"SERPINB6.2",0,0.247940930950666,0.968,0.85,0,"5","SERPINB6"
"IGFBP4.3",0,0.246635339295917,0.663,0.346,0,"5","IGFBP4"
"C3.1",0,0.245153883049972,1,0.997,0,"5","C3"
"IDH1.2",0,0.22825402299388,0.944,0.793,0,"5","IDH1"
"ADAP2.2",0,0.227900373506479,0.996,0.966,0,"5","ADAP2"
"ITGAM",0,0.223938052985879,0.854,0.599,0,"5","ITGAM"
"CYBB",0,0.221912171984222,0.999,0.983,0,"5","CYBB"
"MAF.3",0,0.214761593647397,0.996,0.952,0,"5","MAF"
"CD33",0,0.214325072472631,0.905,0.713,0,"5","CD33"
"NPC2.3",0,0.214317399910045,1,1,0,"5","NPC2"
"CX3CR1.2",0,0.210496036089907,0.984,0.869,0,"5","CX3CR1"
"RPS21",0,-0.202850658530115,1,1,0,"5","RPS21"
"TXN",0,-0.269429691696306,0.975,0.982,0,"5","TXN"
"CST7.1",0,-0.277970000526996,0.154,0.37,0,"5","CST7"
"PRDX1",0,-0.281758824300667,1,0.999,0,"5","PRDX1"
"NAP1L1",0,-0.318635278652485,0.999,0.999,0,"5","NAP1L1"
"CALM1.1",0,-0.333022512345381,1,1,0,"5","CALM1"
"AP1S2.3",0,-0.333905904304935,0.777,0.866,0,"5","AP1S2"
"BHLHE41.2",0,-0.335378044398522,0.389,0.62,0,"5","BHLHE41"
"LSP1.3",0,-0.349062032832618,0.946,0.971,0,"5","LSP1"
"LGALS1.1",0,-0.356991552791019,0.999,0.999,0,"5","LGALS1"
"HMGB1.2",0,-0.378233576342211,0.996,0.997,0,"5","HMGB1"
"ABCA1.3",0,-0.395754273258817,0.123,0.355,0,"5","ABCA1"
"CD52.2",0,-0.44240790601573,0.114,0.372,0,"5","CD52"
"VIM.2",0,-0.481926723860949,0.991,0.999,0,"5","VIM"
"CD1E.3",0,-0.485792427614192,0.202,0.424,0,"5","CD1E"
"ARL4C.2",0,-0.490980095761205,0.409,0.646,0,"5","ARL4C"
"STMN1.3",0,-0.568946524208899,0.891,0.94,0,"5","STMN1"
"S100A6.2",0,-0.569568684951721,0.885,0.938,0,"5","S100A6"
"S100A10.2",0,-0.593646066767966,0.78,0.882,0,"5","S100A10"
"HLA-DQA1.3",0,-0.717863750460564,0.248,0.561,0,"5","HLA-DQA1"
"HLA-DPA1.4",0,-0.736247507674523,0.977,0.98,0,"5","HLA-DPA1"
"HLA-DRB1.2",0,-0.748744427780738,0.969,0.98,0,"5","HLA-DRB1"
"HLA-DQB1.3",0,-0.818102377281903,0.331,0.641,0,"5","HLA-DQB1"
"CD9.2",0,-0.859412122708395,0.43,0.838,0,"5","CD9"
"HLA-DRA.2",0,-0.928931249483132,0.969,0.979,0,"5","HLA-DRA"
"HLA-DPB1.4",0,-1.06526672843699,0.879,0.935,0,"5","HLA-DPB1"
"H2AFZ.3",1.7835769814869e-320,-0.390539928170403,0.992,0.993,4.28004968247411e-316,"5","H2AFZ"
"DHCR24.1",3.7919777549842e-314,0.220159952046645,0.777,0.482,9.0996090186356e-310,"5","DHCR24"
"FADS1.2",2.88354683583416e-313,0.269216569790979,0.872,0.622,6.91964734195124e-309,"5","FADS1"
"MT-ND3.1",1.72390490276472e-311,0.33668035465063,1,0.999,4.1368545951645e-307,"5","MT-ND3"
"FDPS.3",1.21077909092195e-310,0.298390459430876,0.942,0.775,2.90550658448541e-306,"5","FDPS"
"CBX3.1",6.23952807061472e-309,-0.2696875816326,0.915,0.945,1.49729955110541e-304,"5","CBX3"
"MT-CO2",2.42212512320903e-303,0.255001389521154,1,1,5.81237365816472e-299,"5","MT-CO2"
"SERPINF1.2",2.40993512843627e-302,0.261450954938344,0.984,0.932,5.78312132770851e-298,"5","SERPINF1"
"FDFT1.3",6.9796062560252e-302,0.243784188372031,0.888,0.65,1.67489611325837e-297,"5","FDFT1"
"FCGR3A.3",4.73173251766731e-301,0.299843362181833,0.519,0.249,1.13547385226462e-296,"5","FCGR3A"
"LITAF",1.25560988446232e-299,-0.27071382916174,0.904,0.928,3.01308703974423e-295,"5","LITAF"
"SH3BGRL3.2",6.64129813523673e-297,-0.261080054194037,1,1,1.59371231351276e-292,"5","SH3BGRL3"
"PTMS.2",1.28584023723072e-294,-0.332678123179136,0.907,0.945,3.08563081728255e-290,"5","PTMS"
"BIN1",3.39516963411271e-284,0.200258584221169,0.774,0.514,8.14738857098026e-280,"5","BIN1"
"CLEC11A.1",6.79300282922395e-284,0.241089477986476,0.971,0.902,1.63011688892887e-279,"5","CLEC11A"
"SMCO4.2",2.23549145755459e-281,-0.234605113151035,0.599,0.718,5.36450885069375e-277,"5","SMCO4"
"HLA-DMA.2",9.49641975257271e-277,-0.360304272472003,0.818,0.891,2.27885584802487e-272,"5","HLA-DMA"
"ID3.3",3.74464156188546e-276,0.317041367562014,0.908,0.717,8.98601635605653e-272,"5","ID3"
"BASP1.1",5.01677853246136e-273,-0.347102353529763,0.684,0.773,1.20387634443475e-268,"5","BASP1"
"IGF1.3",6.87769517799065e-273,0.274745691407697,0.82,0.557,1.65044051186242e-268,"5","IGF1"
"CD74.2",1.01192331978606e-272,-0.553112954419514,1,1,2.42831239049061e-268,"5","CD74"
"MTUS1.3",3.10148359915797e-272,0.248255701803972,0.945,0.776,7.44263019289938e-268,"5","MTUS1"
"GPNMB.4",1.45243231257552e-268,-0.767587070928476,0.081,0.237,3.48540182048747e-264,"5","GPNMB"
"PTMA.1",5.53747643772773e-267,-0.236669111328597,1,1,1.32882822076152e-262,"5","PTMA"
"FTL.3",1.20870526317636e-266,0.203581560565195,1,1,2.90053002004432e-262,"5","FTL"
"PLA2G7.3",2.35627042525545e-265,-0.345668211732617,0.684,0.677,5.65434213948549e-261,"5","PLA2G7"
"ID2",2.23425499147704e-263,0.223740612849699,0.995,0.975,5.36154170304744e-259,"5","ID2"
"IVNS1ABP.1",3.14265473155292e-263,-0.233894234166479,0.747,0.823,7.54142855930754e-259,"5","IVNS1ABP"
"LCP1.3",8.90071764972917e-263,-0.287214937483121,0.985,0.982,2.13590521440551e-258,"5","LCP1"
"PLBD1",4.97201477393254e-259,0.225358888786844,0.791,0.553,1.19313438530059e-254,"5","PLBD1"
"SLC18A2.2",1.90965291058839e-256,-0.210898261653684,0.147,0.342,4.58259408953896e-252,"5","SLC18A2"
"CTSH",2.56043334922029e-253,-0.24689807161104,0.952,0.965,6.14427190812393e-249,"5","CTSH"
"ACAT2.3",5.9994615936875e-253,0.238537199473007,0.841,0.567,1.43969079863719e-248,"5","ACAT2"
"SUB1.2",3.99837640039056e-250,-0.211860815651854,0.998,0.997,9.59490384801724e-246,"5","SUB1"
"MTRNR2L1.3",1.89326569902792e-244,-0.533631165221038,0.96,0.956,4.54326969795729e-240,"5","MTRNR2L1"
"SMS",3.97825637317426e-242,-0.201546159443125,0.688,0.761,9.54662181870628e-238,"5","SMS"
"S100B.1",1.81813577582723e-241,0.265591332089154,1,0.997,4.36298042125261e-237,"5","S100B"
"CD1C.4",1.57735922951755e-238,-0.388785518114162,0.632,0.611,3.78518894307326e-234,"5","CD1C"
"MT-ATP6.2",2.77768392845163e-235,0.261385664113504,1,1,6.66560812310538e-231,"5","MT-ATP6"
"FABP5.1",8.92969137131097e-235,-0.295774279070093,0.947,0.945,2.14285803837349e-230,"5","FABP5"
"FTH1.3",4.14569973940145e-233,-0.442816001705387,1,1,9.94843566464165e-229,"5","FTH1"
"ANXA2",9.50906813769098e-232,-0.237988522169118,0.896,0.926,2.2818910810017e-227,"5","ANXA2"
"GATM.2",1.3969531775172e-231,0.200709078295708,0.886,0.693,3.35226854008804e-227,"5","GATM"
"RGS1.3",3.01775218272878e-230,-0.255230506715651,0.097,0.244,7.24169991289426e-226,"5","RGS1"
"CD207.4",4.34096712011884e-228,-0.453127945902626,0.039,0.183,1.04170187981492e-223,"5","CD207"
"HERPUD1.3",2.50351626976213e-227,-0.354993219610428,0.994,0.996,6.00768799254819e-223,"5","HERPUD1"
"CIITA.2",9.67083662057266e-222,-0.231725374892624,0.332,0.521,2.32071066383882e-217,"5","CIITA"
"FXYD5.2",1.06185132561547e-219,-0.229028080167459,0.91,0.934,2.54812462607944e-215,"5","FXYD5"
"PLSCR1",2.63328384111284e-218,-0.214897594334256,0.64,0.74,6.31909123351849e-214,"5","PLSCR1"
"PHLDA1",2.75277681331099e-211,-0.238098971806973,0.334,0.476,6.60583851890237e-207,"5","PHLDA1"
"LMO4",6.99616613695048e-209,-0.235674011756796,0.778,0.843,1.67886998788401e-204,"5","LMO4"
"OLR1",4.92497042941576e-204,-0.241408841667226,0.671,0.758,1.1818451539469e-199,"5","OLR1"
"HMOX1.3",5.08027467119468e-203,-0.328152615219721,0.894,0.893,1.21911351284659e-198,"5","HMOX1"
"ATP2B1",6.53829031117348e-202,-0.207348719966698,0.746,0.816,1.5689935259723e-197,"5","ATP2B1"
"PPA1.3",1.03906190505446e-201,-0.237904737137651,0.821,0.834,2.49343685355918e-197,"5","PPA1"
"RAB42.4",2.63967196585993e-198,-0.329669989673418,0.536,0.558,6.33442081647406e-194,"5","RAB42"
"MNDA.1",6.17703467568998e-198,0.218955750517069,0.471,0.249,1.48230301112533e-193,"5","MNDA"
"FCER1A.3",6.18544193341057e-184,-0.632423853342704,0.349,0.438,1.48432050076053e-179,"5","FCER1A"
"SMYD3.3",3.70502506901432e-182,0.259507911523257,0.807,0.63,8.89094865811367e-178,"5","SMYD3"
"PKIB.2",3.09193116817561e-181,-0.260107828460449,0.956,0.953,7.41970722427102e-177,"5","PKIB"
"ANP32B.1",3.79378265906516e-178,-0.203586386410763,0.944,0.941,9.10394024695866e-174,"5","ANP32B"
"HMGB2.4",5.96113438915271e-177,-0.371482983845778,0.468,0.528,1.43049341936498e-172,"5","HMGB2"
"APOC1.3",2.71210516616173e-172,-0.577833055768303,0.646,0.702,6.50823876723831e-168,"5","APOC1"
"CENPF.4",3.90962097002363e-171,-0.400614002801469,0.097,0.199,9.38191744176572e-167,"5","CENPF"
"CD63.4",4.55743462501515e-169,-0.232853347265189,1,1,1.09364758696489e-164,"5","CD63"
"CSF2RA",8.63136192280782e-167,-0.20723144173966,0.757,0.818,2.07126792061619e-162,"5","CSF2RA"
"LINC01480.1",3.70265015241728e-166,-0.231543375041575,0.689,0.758,8.88524957075574e-162,"5","LINC01480"
"TMIGD3.1",2.68959580328138e-162,0.239767210571895,0.966,0.9,6.45422304913432e-158,"5","TMIGD3"
"SLC29A1.3",6.57528156407464e-162,-0.258903624493627,0.587,0.661,1.57787031693099e-157,"5","SLC29A1"
"LGALS3.3",1.15610931186122e-158,-0.326628806323134,0.331,0.42,2.77431551567338e-154,"5","LGALS3"
"PCLAF.4",3.48423061783102e-154,-0.31622131239268,0.11,0.196,8.3611082136091e-150,"5","PCLAF"
"MKI67.4",6.95642656576281e-153,-0.355213015745749,0.028,0.107,1.6693336829861e-148,"5","MKI67"
"RBPJ.2",5.40682982792519e-152,-0.221232205711319,0.941,0.95,1.29747695380721e-147,"5","RBPJ"
"NUSAP1.4",1.37217527555867e-148,-0.231968017403333,0.154,0.239,3.29280900875814e-144,"5","NUSAP1"
"DEK.1",1.76925009504461e-147,-0.213329099049019,0.902,0.891,4.24566945307855e-143,"5","DEK"
"HMGN2.3",1.73031992306313e-143,-0.333923633453373,0.966,0.956,4.1522487193746e-139,"5","HMGN2"
"CKLF.2",2.94942491249712e-143,-0.255836715076879,0.994,0.991,7.07773496251933e-139,"5","CKLF"
"IFI6.2",5.65769930862776e-142,0.238693551875888,0.726,0.509,1.3576781030914e-137,"5","IFI6"
"SQSTM1.3",7.53103237414586e-139,-0.227701136190428,0.874,0.861,1.80722183882378e-134,"5","SQSTM1"
"CDK1.3",5.46011720352008e-137,-0.213072375139271,0.049,0.125,1.31026432532871e-132,"5","CDK1"
"C12orf75.3",3.14604129614993e-134,-0.287867962280878,0.994,0.98,7.54955529837098e-130,"5","C12orf75"
"TUBA1A",1.06148846855299e-131,0.235119959222525,0.963,0.901,2.54725387798661e-127,"5","TUBA1A"
"JUND.2",1.80242565963364e-130,-0.225070212559693,0.982,0.978,4.32528085542284e-126,"5","JUND"
"TYMS.4",4.49579330372714e-127,-0.2545840927413,0.061,0.135,1.0788555190954e-122,"5","TYMS"
"YWHAH.3",2.00258664668578e-125,-0.259517393535064,0.996,0.99,4.80560717605186e-121,"5","YWHAH"
"DUT.2",1.24211614827128e-122,-0.205301673600902,0.771,0.768,2.98070612100659e-118,"5","DUT"
"S100A9.3",9.50689907774694e-117,0.207268271126944,0.997,0.969,2.28137057168693e-112,"5","S100A9"
"ASAH1.3",5.02651434693906e-115,-0.405886348828309,0.99,0.954,1.20621264783497e-110,"5","ASAH1"
"JAML.2",7.5553691369109e-108,-0.213608798691106,0.84,0.799,1.81306193178451e-103,"5","JAML"
"CLEC10A.2",5.77246429209247e-103,-0.243953763276493,0.114,0.206,1.38521825617343e-98,"5","CLEC10A"
"TPX2.4",1.55361694192528e-102,-0.213567904771823,0.11,0.158,3.72821457553809e-98,"5","TPX2"
"SPP1.2",4.66559247134223e-101,-0.292299639341828,0.979,0.985,1.11960222534799e-96,"5","SPP1"
"RUNX3.1",2.51050042259123e-97,-0.206258431768773,0.964,0.962,6.02444786409217e-93,"5","RUNX3"
"TOP2A.4",3.03367053798055e-95,-0.357329283575929,0.288,0.25,7.27989918999193e-91,"5","TOP2A"
"HIST1H4C.4",4.48557958668556e-92,-0.395489186273046,0.742,0.691,1.07640453341693e-87,"5","HIST1H4C"
"CCL4.2",4.27415729619565e-89,-0.351321557146673,0.094,0.156,1.02566952636807e-84,"5","CCL4"
"CD14.3",1.71183275680917e-87,-0.258158439573618,0.676,0.566,4.10788506651497e-83,"5","CD14"
"RETN.1",6.38009163105455e-84,0.313118499405545,0.703,0.622,1.53103058870416e-79,"5","RETN"
"CCL3.3",3.65063769766001e-83,-0.321066732731839,0.196,0.248,8.76043528307472e-79,"5","CCL3"
"CYP1B1.1",1.41755955999104e-82,-0.270633005246347,0.393,0.477,3.40171767611049e-78,"5","CYP1B1"
"CTSD.3",1.72223469379581e-78,-0.470477208564279,0.999,0.989,4.13284659470182e-74,"5","CTSD"
"LTB.4",3.49049304035377e-71,-0.284510917533221,0.5,0.538,8.37613614893695e-67,"5","LTB"
"NEAT1.3",9.84181238832244e-66,-0.352370792931238,0.994,0.991,2.36173971882574e-61,"5","NEAT1"
"FCGBP.3",2.59744233080898e-64,-0.278375309121584,0.823,0.789,6.2330823612423e-60,"5","FCGBP"
"MMP9.2",2.57733746368333e-56,-0.24196764538162,0.362,0.348,6.1848367116009e-52,"5","MMP9"
"CTSB.3",3.11668813700287e-48,-0.27083675907459,0.991,0.976,7.47911652236579e-44,"5","CTSB"
"ACY3.3",2.40306836191765e-28,-0.325910221036687,0.348,0.302,5.76664314809378e-24,"5","ACY3"
"MTRNR2L12.3",4.13916204508044e-26,-0.206383157607004,0.999,0.997,9.93274715957952e-22,"5","MTRNR2L12"
"MTRNR2L8.3",1.11246501901087e-22,-0.224353910755138,0.994,0.988,2.66958230612038e-18,"5","MTRNR2L8"
"APOE.3",2.73961057975578e-19,-0.241840362615703,0.663,0.605,6.57424350823995e-15,"5","APOE"
"HELLS",0,1.00730777761151,0.954,0.168,0,"6","HELLS"
"DUT.3",0,0.984502778277421,0.977,0.758,0,"6","DUT"
"PCNA.1",0,0.981515216075508,0.971,0.582,0,"6","PCNA"
"TYMS.5",0,0.975441491440087,0.786,0.095,0,"6","TYMS"
"PCLAF.5",0,0.932316321947865,0.846,0.155,0,"6","PCLAF"
"H2AFZ.4",0,0.931620212985683,1,0.992,0,"6","H2AFZ"
"MCM3",0,0.88476045317528,0.969,0.295,0,"6","MCM3"
"MCM5.1",0,0.79774323042911,0.978,0.494,0,"6","MCM5"
"MCM6",0,0.783548460120418,0.93,0.16,0,"6","MCM6"
"NASP",0,0.77667846518528,0.994,0.735,0,"6","NASP"
"CLSPN",0,0.774462356726438,0.865,0.062,0,"6","CLSPN"
"DEK.2",0,0.773566868339441,0.999,0.887,0,"6","DEK"
"MCM7",0,0.767975649584728,0.929,0.199,0,"6","MCM7"
"GINS2",0,0.735876699079187,0.891,0.056,0,"6","GINS2"
"FEN1",0,0.725270778911176,0.903,0.215,0,"6","FEN1"
"ATAD2",0,0.722740950415519,0.896,0.258,0,"6","ATAD2"
"MCM4",0,0.701913013711475,0.91,0.133,0,"6","MCM4"
"RANBP1.1",0,0.695504742360208,0.991,0.834,0,"6","RANBP1"
"TUBB.4",0,0.681151668509144,0.999,0.958,0,"6","TUBB"
"SLBP",0,0.669987157430183,0.956,0.556,0,"6","SLBP"
"DHFR",0,0.637102445754038,0.876,0.398,0,"6","DHFR"
"HNRNPAB.1",0,0.625018841960796,0.997,0.865,0,"6","HNRNPAB"
"UHRF1",0,0.620867560068598,0.823,0.095,0,"6","UHRF1"
"FAM111B",0,0.615814948898996,0.681,0.022,0,"6","FAM111B"
"TK1",0,0.592226647619476,0.643,0.068,0,"6","TK1"
"STMN1.4",0,0.589510437717836,0.997,0.932,0,"6","STMN1"
"HMGB2.5",0,0.575162349817551,0.89,0.504,0,"6","HMGB2"
"CENPU",0,0.563118692178372,0.758,0.083,0,"6","CENPU"
"MSH6",0,0.559987504780531,0.871,0.279,0,"6","MSH6"
"PARP1",0,0.557198461955825,0.971,0.739,0,"6","PARP1"
"PRKDC",0,0.554183306419078,0.982,0.832,0,"6","PRKDC"
"BRCA1",0,0.545865094682413,0.772,0.104,0,"6","BRCA1"
"GMNN",0,0.542735524186798,0.864,0.274,0,"6","GMNN"
"HMGB1.3",0,0.539346568799376,1,0.997,0,"6","HMGB1"
"ORC6",0,0.534355304662246,0.879,0.272,0,"6","ORC6"
"RPA3",0,0.52921395449553,0.933,0.594,0,"6","RPA3"
"DNMT1.1",0,0.528358330454988,0.98,0.805,0,"6","DNMT1"
"SIVA1",0,0.528155779329462,0.98,0.815,0,"6","SIVA1"
"RAN.1",0,0.519968176269379,1,0.982,0,"6","RAN"
"DCTPP1.1",0,0.516842583067115,0.962,0.648,0,"6","DCTPP1"
"TUBA1B.2",0,0.508469988625251,1,0.995,0,"6","TUBA1B"
"PAICS",0,0.488292534949444,0.898,0.411,0,"6","PAICS"
"CDK1.4",0,0.485446852967636,0.65,0.091,0,"6","CDK1"
"E2F1",0,0.481670494814008,0.754,0.037,0,"6","E2F1"
"SNRNP25",0,0.479125965220224,0.952,0.669,0,"6","SNRNP25"
"WDR76",0,0.47773978190124,0.739,0.046,0,"6","WDR76"
"PA2G4.1",0,0.473163302279806,0.989,0.884,0,"6","PA2G4"
"LDHA.1",0,0.470731688471025,0.982,0.833,0,"6","LDHA"
"CKS1B.2",0,0.466817382132821,0.877,0.435,0,"6","CKS1B"
"RRM2",0,0.461105532249693,0.425,0.05,0,"6","RRM2"
"RRM1",0,0.459311347814385,0.785,0.266,0,"6","RRM1"
"USP1",0,0.458596180071891,0.862,0.416,0,"6","USP1"
"DTL",0,0.45836642858158,0.716,0.024,0,"6","DTL"
"PTMA.2",0,0.457772584367007,1,1,0,"6","PTMA"
"TMPO",0,0.45729623686624,0.934,0.589,0,"6","TMPO"
"FADS1.3",0,0.454311939716118,0.92,0.632,0,"6","FADS1"
"DNAJC9",0,0.45419722603987,0.864,0.36,0,"6","DNAJC9"
"PHF19.1",0,0.453533455878313,0.884,0.415,0,"6","PHF19"
"SNRPD1.1",0,0.453134177750534,0.993,0.89,0,"6","SNRPD1"
"FAM111A",0,0.45090926983831,0.748,0.36,0,"6","FAM111A"
"CARHSP1",0,0.450276541769035,0.917,0.595,0,"6","CARHSP1"
"CDT1",0,0.449439418049677,0.738,0.055,0,"6","CDT1"
"CENPM",0,0.449387189531322,0.678,0.099,0,"6","CENPM"
"GGCT",0,0.448811784934589,0.938,0.646,0,"6","GGCT"
"BARD1",0,0.44687063453207,0.816,0.247,0,"6","BARD1"
"CCNE2",0,0.445431539647069,0.634,0.024,0,"6","CCNE2"
"NOP56",0,0.444614620983653,0.941,0.659,0,"6","NOP56"
"CENPK",0,0.443852920503963,0.726,0.136,0,"6","CENPK"
"RAD51AP1",0,0.441915327550935,0.77,0.222,0,"6","RAD51AP1"
"SNRPB.1",0,0.441512943196451,0.996,0.936,0,"6","SNRPB"
"PPM1G.1",0,0.437331002768854,0.99,0.875,0,"6","PPM1G"
"ZWINT",0,0.435680343952777,0.691,0.146,0,"6","ZWINT"
"MAD2L1",0,0.434182590021784,0.734,0.158,0,"6","MAD2L1"
"CENPX",0,0.432861435059391,0.912,0.593,0,"6","CENPX"
"CDC6",0,0.430185441090821,0.7,0.033,0,"6","CDC6"
"MCM2",0,0.427061099450372,0.735,0.069,0,"6","MCM2"
"SMC2",0,0.425709167005657,0.86,0.445,0,"6","SMC2"
"DTYMK",0,0.424592057372413,0.868,0.444,0,"6","DTYMK"
"SRSF7.1",0,0.422888239060461,0.985,0.878,0,"6","SRSF7"
"CHEK1",0,0.419056212211578,0.727,0.066,0,"6","CHEK1"
"RPL22L1.2",0,0.412224313053489,0.973,0.84,0,"6","RPL22L1"
"TMEM106C",0,0.410373144538382,0.685,0.193,0,"6","TMEM106C"
"CBX5",0,0.4101639300185,0.969,0.762,0,"6","CBX5"
"SET.1",0,0.41011423696468,1,0.98,0,"6","SET"
"HSPD1",0,0.407373609943378,0.992,0.923,0,"6","HSPD1"
"ESCO2",0,0.405305706251096,0.547,0.067,0,"6","ESCO2"
"SUPT16H",0,0.400969325329169,0.963,0.755,0,"6","SUPT16H"
"HSPE1",0,0.400821894172058,0.996,0.953,0,"6","HSPE1"
"CDCA7",0,0.398721572199979,0.622,0.012,0,"6","CDCA7"
"RFC4",0,0.39552731225583,0.766,0.215,0,"6","RFC4"
"HAT1",0,0.394337233680719,0.88,0.483,0,"6","HAT1"
"HNRNPF",0,0.39339363765402,0.998,0.971,0,"6","HNRNPF"
"ANP32B.2",0,0.392981371496262,0.993,0.939,0,"6","ANP32B"
"UBE2T",0,0.392838942835888,0.768,0.23,0,"6","UBE2T"
"MYBL2",0,0.391091361880597,0.513,0.045,0,"6","MYBL2"
"NME1.2",0,0.389899906272299,0.975,0.814,0,"6","NME1"
"MKI67.5",0,0.38783270601872,0.548,0.077,0,"6","MKI67"
"PGP",0,0.386504644721645,0.969,0.798,0,"6","PGP"
"TOP2A.5",0,0.380426440127515,0.769,0.228,0,"6","TOP2A"
"ATAD5",0,0.379682137877588,0.727,0.173,0,"6","ATAD5"
"CBX3.2",0,0.379612346380039,0.996,0.939,0,"6","CBX3"
"PSIP1",0,0.378443492779024,0.834,0.443,0,"6","PSIP1"
"SMC3",0,0.377402742089462,0.92,0.631,0,"6","SMC3"
"MMS22L",0,0.37459087330817,0.731,0.166,0,"6","MMS22L"
"RMI2",0,0.373812456966996,0.682,0.077,0,"6","RMI2"
"MCM10",0,0.371561240352586,0.578,0.018,0,"6","MCM10"
"RFC1",0,0.371165080119826,0.87,0.534,0,"6","RFC1"
"EIF4EBP1",0,0.367301639177355,0.987,0.887,0,"6","EIF4EBP1"
"LMNB1.1",0,0.365986490296095,0.781,0.279,0,"6","LMNB1"
"SAMD1",0,0.36276935874959,0.83,0.49,0,"6","SAMD1"
"POLD3",0,0.360318787680291,0.755,0.229,0,"6","POLD3"
"RIF1",0,0.360232347930404,0.882,0.562,0,"6","RIF1"
"SVIP",0,0.357821111032078,0.852,0.565,0,"6","SVIP"
"BRCA2",0,0.356733907113783,0.694,0.181,0,"6","BRCA2"
"SRSF10",0,0.355576586437102,0.957,0.759,0,"6","SRSF10"
"SRSF2",0,0.354804058923638,0.984,0.867,0,"6","SRSF2"
"ASF1B",0,0.35448702411608,0.616,0.072,0,"6","ASF1B"
"WEE1",0,0.353865729917703,0.664,0.083,0,"6","WEE1"
"BRI3BP",0,0.350796333868828,0.973,0.813,0,"6","BRI3BP"
"GMPS",0,0.350669597177529,0.837,0.434,0,"6","GMPS"
"SNRPE.1",0,0.350646695412661,0.985,0.884,0,"6","SNRPE"
"SHCBP1",0,0.350450561484075,0.675,0.129,0,"6","SHCBP1"
"RFC3",0,0.348990263404451,0.678,0.145,0,"6","RFC3"
"C19orf48",0,0.348878610861372,0.782,0.294,0,"6","C19orf48"
"PPP1R14B.2",0,0.3471974435196,0.995,0.933,0,"6","PPP1R14B"
"POLR3K",0,0.345776981770795,0.888,0.541,0,"6","POLR3K"
"CTNNAL1",0,0.344898432353275,0.598,0.076,0,"6","CTNNAL1"
"EIF1AX",0,0.342221184182429,0.98,0.885,0,"6","EIF1AX"
"CHAF1A",0,0.341669009120237,0.706,0.2,0,"6","CHAF1A"
"EIF5A.2",0,0.339315978592131,0.99,0.907,0,"6","EIF5A"
"ATP5MC1",0,0.338214628188355,0.993,0.921,0,"6","ATP5MC1"
"PDCD5.1",0,0.337455306373637,0.981,0.878,0,"6","PDCD5"
"RFC2",0,0.336311160335257,0.841,0.451,0,"6","RFC2"
"TCF19",0,0.331868024630357,0.588,0.056,0,"6","TCF19"
"UNG",0,0.331849266595008,0.607,0.068,0,"6","UNG"
"MRPL17",0,0.32735986356142,0.918,0.653,0,"6","MRPL17"
"FABP5.2",0,0.327238904428194,0.997,0.943,0,"6","FABP5"
"TFDP1",0,0.326557916285671,0.897,0.616,0,"6","TFDP1"
"LSM2",0,0.325187621871475,0.951,0.751,0,"6","LSM2"
"SUZ12",0,0.325158202460935,0.926,0.687,0,"6","SUZ12"
"EZH2",0,0.324273455975935,0.648,0.146,0,"6","EZH2"
"NME4",0,0.323777278884129,0.837,0.535,0,"6","NME4"
"SMC4",0,0.323130714519064,0.73,0.251,0,"6","SMC4"
"TOPBP1",0,0.32201766522793,0.796,0.364,0,"6","TOPBP1"
"CASP8AP2",0,0.321606522300876,0.763,0.343,0,"6","CASP8AP2"
"CDC45",0,0.317509528516821,0.537,0.024,0,"6","CDC45"
"CAND1",0,0.31331418569446,0.879,0.592,0,"6","CAND1"
"TAGLN2",0,0.313266510512131,0.947,0.765,0,"6","TAGLN2"
"HSPB11",0,0.312891621809027,0.92,0.712,0,"6","HSPB11"
"LSM4.1",0,0.312869617590527,0.994,0.931,0,"6","LSM4"
"TPI1.1",0,0.31087123808032,0.999,0.996,0,"6","TPI1"
"MSH2",0,0.309763289116802,0.655,0.157,0,"6","MSH2"
"BTG3",0,0.309268667899527,0.636,0.208,0,"6","BTG3"
"LIG1",0,0.300757677903687,0.613,0.133,0,"6","LIG1"
"SF3A3",0,0.299587457543235,0.896,0.624,0,"6","SF3A3"
"RBBP7",0,0.299376072430117,0.913,0.677,0,"6","RBBP7"
"SNRPG.1",0,0.298167045921902,0.998,0.969,0,"6","SNRPG"
"PRIM1",0,0.297779184936965,0.629,0.125,0,"6","PRIM1"
"NETO2",0,0.295351093224907,0.672,0.23,0,"6","NETO2"
"CACYBP",0,0.292695598601463,0.977,0.87,0,"6","CACYBP"
"ALYREF",0,0.291942395011821,0.873,0.581,0,"6","ALYREF"
"TMEM160",0,0.286609842782623,0.986,0.883,0,"6","TMEM160"
"XRCC2",0,0.283683928356608,0.537,0.036,0,"6","XRCC2"
"NXT1",0,0.282947337247118,0.83,0.491,0,"6","NXT1"
